,word,topic_id,importance,word_count
0,the,0,0.042240158,17654
1,to,0,0.03535727,13864
2,it,0,0.031086454,9017
3,app,0,0.027439896,6191
4,and,0,0.020583536,10769
5,is,0,0.018117404,8144
6,this,0,0.014652863,4094
7,you,0,0.012333015,4896
8,my,0,0.01155908,4616
9,on,0,0.011302022,3231
10,the,1,0.046318904,17654
11,to,1,0.030473264,13864
12,and,1,0.020721203,10769
13,is,1,0.017417831,8144
14,it,1,0.01616276,9017
15,not,1,0.015789745,4379
16,my,1,0.014488963,4616
17,of,1,0.014109097,5394
18,but,1,0.013314826,4739
19,for,1,0.012432902,4972
20,and,2,0.038965236,10769
21,to,2,0.029292112,13864
22,good,2,0.028026229,3300
23,the,2,0.027672153,17654
24,is,2,0.021515533,8144
25,lazada,2,0.019375755,4549
26,app,2,0.017001893,6191
27,for,2,0.015925243,4972
28,shopping,2,0.014842052,1500
29,of,2,0.014679925,5394
